Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov
2014,2,Corrientes,3.36697059898026,52883.0,8680.0,31.0,1309.0,55.0,62958.0,5.94526705446853,22.5756130032436,20.0,15563.0,41219.0,5199.0,956.0,0.0,0.0,0.0,62957.0
2014,2,Entre Rios,3.31240030997454,108900.0,21706.0,49.0,4795.0,133.0,135583.0,10.3720720658694,34.6874323714598,2187.0,32781.0,86757.0,12564.0,1162.0,0.0,44.0,0.0,135495.0
2014,2,Formosa,2.65235125,20894.0,4628.0,0.0,0.0,78.0,25600.0,4.46486967289597,17.5404117548517,2032.0,8218.0,13944.0,1321.0,85.0,0.0,0.0,0.0,25600.0
2014,2,Jujuy,2.76903167947822,30128.0,4161.0,23.0,40.0,9.0,34361.0,4.78409543407859,18.7060609994136,1873.0,11233.0,18851.0,2305.0,82.0,0.0,0.0,0.0,34344.0
2014,2,La Pampa,2.68457605542687,15957.0,32600.0,513.0,5869.0,689.0,55628.0,16.3790489033622,49.7075961603446,7032.0,6761.0,34089.0,18.0,5.0,4.0,10.0,0.0,47919.0
2014,2,La Rioja,3.09515334338864,15864.0,0.0,14.0,0.0,34.0,15912.0,4.39338341878784,16.5025648163457,10.0,4785.0,9719.0,1337.0,61.0,0.0,0.0,0.0,15912.0
2014,2,Mendoza,3.50303318206071,148979.0,13030.0,2480.0,36.0,2282.0,166807.0,8.95860097015214,32.0982381502412,35.0,6.0,166710.0,31.0,10.0,5.0,10.0,0.0,166807.0
2014,2,Misiones,3.54002388571276,56933.0,17594.0,4.0,150.0,8.0,74689.0,6.36580742599405,23.3677476012998,540.0,13644.0,53245.0,5924.0,1334.0,2.0,0.0,0.0,74689.0
2014,2,Neuquen,3.66470433804515,47767.0,29776.0,997.0,10765.0,2983.0,92288.0,15.1375680294983,50.8427490584487,1531.0,3206.0,79087.0,92.0,2289.0,2.0,30.0,0.0,86237.0
2014,2,Rio Negro,3.42862575044451,64920.0,24944.0,876.0,3657.0,1560.0,95957.0,13.9465694232689,45.3349103201463,3468.0,5507.0,84978.0,78.0,1569.0,2.0,8.0,0.0,95610.0
2014,2,Salta,3.39113775110879,73841.0,17504.0,45.0,7.0,577.0,91974.0,7.00401550152647,28.9145940008629,53.0,18818.0,64440.0,8293.0,388.0,0.0,0.0,0.0,91992.0
