,Fecha,Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov,Tasa_Crec_Accesos_x_Prov,Tasa_Crec_Pntcion_xc100_Hoga_x_Prov,Tasa_Crec_Pntcion_xc100_Habi_x_Prov,Tasa_Crec_Acc_ADSL_x_Prov,Tasa_Crec_Acc_CaModem_x_Prov,Tasa_Crec_Acc_FO_x_Prov,Tasa_Crec_Acc_Wireless_x_Prov,Tasa_Crec_Acc_Otros_x_Prov,Tasa_Crec_Acc_rango_0->512_kbps_x_Prov,Tasa_Crec_Acc_rango_0.512->1_Mbps_x_Prov,Tasa_Crec_Acc_rango_1->6_Mbps_x_Prov,Tasa_Crec_Acc_rango_6->10_Mbps_x_Prov,Tasa_Crec_Acc_rango_10->20_Mbps_x_Prov,Tasa_Crec_Acc_rango_20->30_Mbps_x_Prov,Tasa_Crec_Acc_rango_>30_Mbps_x_Prov,Tasa_Crec_Acc_rango_Otros_Mbps_x_Prov
251,2016-07-01,2016,3,Buenos Aires,5.91491800816368,1574216.0,1355770.0,113463.0,18867.0,24276.0,3086592.0,18.2953085979519,60.1432954546882,5856.0,107945.0,2148475.16,393530.0,399116.0,52900.0,13318.0,0.0,3121140.16,0.029723910599632752,-0.21341120970459482,-0.22010271460015662,-10.041046859094338,-0.3956695196598248,5.145443707419584,-0.9167464425370309,-8.140756302521012,0.0,-10.927585859603184,-8.29029968124939,-4.7432875826054826,-9.416983523447398,20.63215890967087,0.6171958095959607,90.17603634298695
274,2016-10-01,2016,4,Buenos Aires,6.35154645026031,1563542.0,1414676.0,118747.0,21394.0,24342.0,3142701.0,18.5786407358338,61.2365874303569,6055.0,86281.0,2085604.6,403575.0,467398.0,72348.0,17279.0,0.0,3138540.6,0.688912350300197,0.45622642540548153,0.4562926759984043,0.26591061177050346,1.448649271355329,-0.6711409395973145,0.0,-5.714285714285716,0.0,-4.118773946360155,-9.561830574488805,1.4861099383602028,18.833354106942537,16.564417177914102,21.719626168224295,0.0
291,2017-01-01,2017,1,Buenos Aires,6.67848257709171,1559178.0,1465817.0,118839.0,21200.0,24342.0,3189376.0,18.8048550310117,58.5740024492033,6017.0,83918.0,2057698.16,402315.0,523540.0,90937.0,22299.0,0.0,3186724.16,1.69661518607358,1.4804706897278308,1.4895295991472102,-4.928080668281353,-4.202647516215086,67.1816091954023,7.115441393563615,-0.949013770003726,0.0,-2.283445023579056,-1.2620608231893482,-3.206701733878825,-70.45093621893119,107.79755070799845,26.219889528087826,0.18325345362277812
335,2017-04-01,2017,2,Buenos Aires,7.19874775188798,1378549.0,1535037.0,119132.0,21555.0,24358.0,3078631.0,18.1041564810005,56.2721441616913,7548.0,47472.0,1910156.0,299009.0,573298.0,93059.0,46178.0,0.0,2976720.0,-0.14590572930589518,-0.35993740219091297,-0.3385868306155837,-5.406464557795399,1.467614039640086,3.1585702726080633,0.0,0.007941550190593283,0.0,-1.891796322489392,-2.9339803030614564,-3.5051588854336124,-1.3450734658599806,-1.0322979446762526,3.468699693223587,0.0
349,2017-07-01,2017,3,Buenos Aires,8.42570621185365,1288025.0,1571180.0,124920.0,35058.0,38777.0,3057960.0,17.9358709735921,55.6293833953396,6577.0,51411.0,1733479.0,311652.0,676137.0,140812.0,108400.0,0.0,3028468.0,1.3108614232209659,1.3108614232212767,1.0733366927428767,0.35676909903910037,4.302161179559683,100.0,10.000000000000009,-10.71428571428571,-0.5288207297726055,-5.847873500545253,-1.151738014292647,20.355731225296438,50.79726651480638,63.69426751592358,0.0,0.0
382,2017-10-01,2017,4,Buenos Aires,12.9720825438982,1241172.0,1718013.0,131181.0,60082.0,31448.0,3181896.0,18.6146492483549,57.6096152902582,3865.0,55046.0,1551194.0,264645.0,712513.0,335140.0,151747.0,114182.0,3188332.0,1.5973487986743917,1.4091858037578175,1.4358974358974486,-5.899111781464727,2.121280687860616,8.804204993429687,0.5115089514066584,0.4405286343612369,1.1904761904761862,11.827956989247301,-0.11392635800219209,-1.0824524312896378,-3.0180699730872784,-8.666666666666668,6.358919130605045,-5.774278215223094
386,2018-01-01,2018,1,Buenos Aires,14.1988896446809,1452061.0,1793884.0,133928.0,64379.0,31194.0,3475446.0,20.2796529105795,62.6262116616845,1514.0,74766.0,1445752.0,292732.0,886678.0,480237.0,184203.0,105818.0,3471700.0,476.14837046157436,33.018324557478394,55.71532184623089,1230.4766844155006,870.5790762615654,155.87282551150741,-23.662633023491676,2163.777598621496,0.0,26.056338028169023,0.4965973882655961,6.434094256259204,13.938330408623711,-6.206896551724139,-9.353588348146113,20.274914089347075
409,2018-04-01,2018,2,Buenos Aires,14.6793755121758,1450203.0,1807868.0,143626.0,71256.0,27746.0,3500699.0,20.3745823244351,62.7822665109499,1009.0,81354.0,1459443.0,295457.0,816056.0,536049.0,199589.0,113357.0,3502314.0,-0.15108353420139053,-0.4255847328893614,-0.42807598686700477,0.26648900732844094,16.26439398867998,0.0,0.0,-23.877933842704856,0.0,-5.851063829787229,20.924026988907094,9.465703115744573,0.5056179775280834,107.40740740740739,41.192307692307686,-23.98345968297726
454,2018-07-01,2018,3,Buenos Aires,16.7797351323622,1435856.0,1929273.0,156382.0,62318.0,26448.0,3610277.0,20.9590874010485,64.4405675975205,991.0,80459.0,1445733.0,190805.0,636090.0,897964.0,237248.0,120464.0,3609754.0,-1.2975807254504979,-1.5046006768856701,-1.5049677562632313,-44.665847188975874,-5.4508038132761065,179.66410360178065,-0.4056079710783922,-0.16620498614958734,0.0,159.10543130990416,-5.2210509857062775,4.333333333333322,55.253716043054844,4.2735042735042805,57.451564828613996,3.3205619412515874
474,2018-10-01,2018,4,Buenos Aires,16.9343630101501,1305576.0,1949637.0,296102.0,65477.0,19814.0,3636606.0,21.0588338233985,64.6028466348432,134673.0,73761.0,1422463.0,194426.0,577679.0,949093.0,265386.0,19125.0,3636606.0,1.2793584113041767,1.2793584113045764,0.9236596200941305,1.2832790653131587,0.0,0.0,0.0,0.0,0.0,-6.378399530424572,3.5037273695420756,14.763948497854074,74.28571428571429,0.0,0.0,0.0
487,2019-01-01,2019,1,Buenos Aires,19.6439582242305,1304507.0,2020730.0,336362.0,64867.0,20201.0,3746667.0,21.6417378514192,66.2425552273681,162513.0,72296.0,1429964.0,202511.0,576428.0,576859.0,705769.0,6369.0,3732709.0,218.69973601817176,217.61918372593163,217.61219584712381,2.4255109578921408,0.0,-6.666666666666665,12500.0,-10.71428571428571,77.77777777777777,-3.6679536679536717,339.402407566638,8.335648791330929,212.02672605790647,-4.1666666666666625,50.0,0.0
506,2019-04-01,2019,2,Buenos Aires,22.4800460185574,1284658.0,2079900.0,382971.0,75240.0,32929.0,3855698.0,22.2157894842981,67.847139823742,199768.0,46852.0,1436259.0,217785.0,438663.0,502275.0,985767.0,43438.0,3870807.0,2.048562921841457,1.7333015432428711,1.7274645232525865,-14.764363396682413,-11.09610319443507,101.01613241148124,0.0,0.0,0.0,-6.426735218508995,-11.10178970917226,-17.092924126172203,0.8042668472739489,-2.905225863596106,6.417228627365668,0.0
