,Fecha,Año,Trimestre,Tot_Vel_Media_DL,Tot_Acc_ADSL,Tot_Acc_CaModem,Tot_Acc_FO,Tot_Acc_Wireless,Tot_Acc_Otros,Total,Periodo,Tot_pntrcion_x_c100_Hoga,Tot_pntrcion_x_c100_Habi,Tot_Acc_rango_0->512_kbps,Tot_Acc_rango_0.512->1_Mbps,Tot_Acc_rango_1->6_Mbps,Tot_Acc_rango_6->10_Mbps,Tot_Acc_rango_10->20_Mbps,Tot_Acc_rango_20->30_Mbps,Tot_Acc_rango_>30_Mbps,Tot_Acc_rango_Otros,Tot_Acc_rango,Tot_B_Ancha_Fija,Tot_DialUp,Tot_DialUp_+_B_Ancha_Fija,Ingresos (miles de pesos),ARPU_x_Tecnología,ARPU_x_Rango_Velo,Tasa_Crec_Acce_x_Tecno,Tasa_Crec_Pntcion_xc100_Hoga,Tasa_Crec_Pntcion_xc100_Habi,Tasa_Crec_Pntcion_xc100_Hoga_YoY,Tasa_Crec_Pntcion_xc100_Habi_YoY,Tasa_Crec_Acc_ADSL,Tasa_Crec_Acc_CaModem,Tasa_Crec_Acc_FO,Tasa_Crec_Acc_Wireless,Tasa_Crec_Acc_Otros,Tasa_Crec_Acc_0->512_kbps,Tasa_Crec_Acc_0.512->1_Mbps,Tasa_Crec_Acc_1->6_Mbps,Tasa_Crec_Acc_6->10_Mbps,Tasa_Crec_Acc_10->20_Mbps,Tasa_Crec_Acc_20->30_Mbps,Tasa_Crec_Acc_>30_Mbps
0,2014-01-01,2014,1,3.6171267670209,3697066,2407330,150323,70749,72930,6398398,Ene-Mar 2014,49.545821345017,15.0501038728932,52684,687619,5130294,289182,101127,345,11595,0,6272846,6362108,36290,6398398,2984054.20878,0.46637520966654467,0.47570978289280497,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2014-04-01,2014,2,3.75871218894443,3708882,2461670,149363,72405,72148,6464468,Abr-Jun 2014,49.8614284376576,15.1639080079061,41064,656408,5149574,341689,147273,478,12259,0,6348745,6428329,36139,6464468,3270816.20391,0.5059683494310746,0.515190987180931,1.0326022232440057,0.6370004252080869,0.7561684356071023,,,0.3196047893113079,2.257272579995264,-0.6386248278706519,2.340669126065386,0.0,-22.05603219193683,-4.53899615921026,0.3758069225662311,18.157077549778343,45.63173039840992,38.550724637681164,5.726606295817162
2,2014-07-01,2014,3,3.86726501227843,3714764,2569868,155494,85096,70049,6595271,Jul-Sept 2014,50.6723681347231,15.4287688044283,37430,608018,5153437,373372,182483,507,12424,0,6367671,6559264,36007,6595271,3478637.74279962,0.5274442464607777,0.5462967139476301,2.02341476514386,1.626386813365021,1.746652620050898,,,0.15859226580948113,4.395308875681956,4.104764901615527,17.52779504177888,0.0,-8.849600623417105,-7.3719394035417,0.07501591393773543,9.272467068006286,23.907980417320214,6.066945606694561,1.345949914348642
3,2014-10-01,2014,4,4.15688796190556,3764038,2536219,149682,76984,71573,6598496,Oct-Dic 2014,50.4997884742653,15.3946769684574,44075,554749,5084556,496251,276254,4371,15229,0,6475485,6559172,39324,6598496,3950440.78037,0.5986880616992114,0.6100609885390824,0.048898673003732525,-0.34057942584992323,-0.22096277676488882,,,1.3264368880499542,-1.3093668624225059,-3.737764801214195,-9.532762997085644,0.0,17.753139193160568,-8.761089309855958,-1.336603125254078,32.910609258326815,51.386156518689404,762.1301775147929,22.57726980038635
4,2015-01-01,2015,1,4.35027886167618,3756153,2668248,168188,79098,66045,6737732,Ene-Mar 2015,51.3645863622347,15.6772340033791,41158,516919,5121423,571620,348102,7643,16347,0,6623212,6699714,38018,6737732,4876385.31507,0.723742843299496,0.7362568667694768,2.1101172145895064,1.7124782382209307,1.8354203566637952,3.6708746930493916,4.1669488515320285,-0.20948247600050796,5.205741302308673,12.363544046712363,2.7460251480827185,0.0,-6.6182643221781055,-6.819300260117639,0.725078059913196,15.187677203673141,26.007949206165343,74.85701212537177,7.341256812660056
5,2015-04-01,2015,2,4.54538147818226,3767821,2756294,150839,82077,59157,6816188,Abr-Jun 2015,51.7602660815406,15.8172335655737,40723,500175,5138431,645440,432762,10045,18529,0,6786105,6783279,32909,6816188,4701790.71966,0.6897976874552169,0.6928555805812023,1.1644274364133214,0.7703356482138884,0.8930118805678603,3.8082295340919496,4.308424697162311,0.31063697352051417,3.2997682374352006,-10.315242466763385,3.7662140635667147,0.0,-1.056902667768113,-3.2391922138671627,0.3320952008845979,12.914173751793149,24.320457796852647,31.427449954206466,13.34801492628617
6,2015-07-01,2015,3,4.78891116867562,3788696,2840203,162663,84530,58976,6935068,Jul-Sept 2015,52.4591062215395,16.0502891476947,35030,455777,5087802,701187,539414,13101,20677,0,6852988,6902267,32801,6935068,5153738.88436,0.7431417953450492,0.7520425957786588,1.7440833498137083,1.3501478893056333,1.4734282145788475,3.526059966382431,4.028321061418799,0.5540337505417587,3.0442688624653247,7.8388215249371855,2.988656992823812,0.0,-13.979814846646857,-8.876493227370421,-0.9853007659341927,8.637053792761527,24.64449281591267,30.423096067695372,11.59263856657132
7,2015-10-01,2015,4,4.99044890054109,3803024,2898226,139187,85726,58668,6984831,Oct-Dic 2015,52.6308875044894,16.1226969462781,34243,427394,5049640,726740,639011,17568,22170,0,6916766,6952289,32542,6984831,5376899.206,0.7697966072479062,0.7773718535512116,0.7175560499190491,0.327457509902005,0.45113080466716765,4.220015755729567,4.7290370516533855,0.3781776104496112,2.042917354851044,-14.432292531184105,1.4148822903111322,0.0,-2.2466457322295175,-6.227387516263436,-0.7500684971624288,3.6442489663955553,18.4639256674836,34.09663384474468,7.220583256758717
8,2016-01-01,2016,1,5.08370177629755,3792493,2806359,164371,85370,58763,6907356,Ene-Mar 2016,51.845451696958,15.9018018688339,30428,404810,4944358,762999,641646,27664,23380,0,6835285,6874704,32652,6907356,5936844.8865,0.8594960049112859,0.8685584999747633,-1.1091893275585336,-1.4923476398994833,-1.3700876359596537,0.9361806816317637,1.4324457069811933,-0.2769112159165969,-3.1697666089532013,18.09364380294137,-0.41527657886755476,0.0,-11.140963116549369,-5.284117231407086,-2.084940708644577,4.9892671381787155,0.4123559688330874,57.46812386156649,5.457825890843482
9,2016-04-01,2016,2,5.42353097512933,3782085,3035272,167788,85452,59482,7130079,Abr-Jun 2016,53.3422011526116,16.3713514993317,44008,384221,5058481,796998,785759,73977,29020,0,7172464,7097604,32475,7130079,6534240.5975,0.9164331275291621,0.9110175523362682,3.224432040277061,2.8869445759721684,2.952807702994172,3.0562730658665815,3.5032544184214336,-0.2744368941485192,8.15693929393923,2.0788338575539482,0.09605247745109524,0.0,44.62994610227422,-5.086089770509622,2.308145971630695,4.4559691428167,22.45989221471029,167.41252168883747,24.123182207014544
